p_id,name,brand,category,colour,price,price_tier,avg_rating,ratingCount,is_rated,bayesian_rating,confidence_score,confidence_tier,occasion,fabric,length,pattern,print_type,neck,sleeve_length,wash_care,trend,pockets,waistband,closure,desc_length,description_clean,img
17048614,Khushal K Women Black Ethnic Motifs Printed Kurta with Palazzos & With Dupatta,Khushal K,Kurta,Black,5099.0,High-End,4.418,4522,True,4.415,80.2,High,Festive,,,,Ethnic Motifs,Mandarin Collar,Three-Quarter Sleeves,Machine Wash,Indie Prints,,Elasticated,,399,"Black printed Kurta with Palazzos with dupatta Kurta design: Ethnic motifs printed Anarkali shape Regular style Mandarin collar, three-quarter regular sleeves Calf length with flared hem Viscose rayon machine weave fabric Palazzos design: Printed Palazzos Elasticated waistband Slip-on closure Dupatta Length 2.43 meters Width: 88 cm The model (height 5'8) is wearing a size S100% Rayon Machine wash",http://assets.myntassets.com/assets/images/17048614/2022/2/4/b0eb9426-adf2-4802-a6b3-5dbacbc5f2511643971561167KhushalKWomenBlackEthnicMotifsAngrakhaBeadsandStonesKurtawit7.jpg
16524740,InWeave Women Orange Solid Kurta with Palazzos & Floral Print Dupatta,InWeave,Kurta,Orange,5899.0,High-End,4.119,1081,True,4.118,70.0,High,Fusion,,,,Solid,Square Neck,Sleeveless,Hand Wash,,,Elasticated,,427,"Orange solid Kurta with Palazzos with dupatta Kurta design: Solid A-line shape Regular style Square neck, sleeveless shoulder straps Calf length with straight hem Viscose rayon machine weave fabric Palazzos design: Solid Palazzos Elasticated waistband Zip closure Dupatta Design: Floral Printed Kurta Fabric: Viscose rayon Bottom Fabric: Viscose rayon Dupatta Fabric: Organza Hand washThe model (height 5'8) is wearing a size S",http://assets.myntassets.com/assets/images/16524740/2021/12/29/17ab2ac8-2e60-422d-9d20-2527415932361640754214931-STRAPPY-SET-IN-ORANGE-WITH-ORGANZA-DUPATTA-5961640754214349-2.jpg
16331376,Anubhutee Women Navy Blue Ethnic Motifs Embroidered Thread Work Kurta with Trousers & With Dupatta,Anubhutee,Kurta,Navy Blue,4899.0,Premium,4.162,1752,True,4.16,71.7,High,Daily,,,,Ethnic Motifs,Round Neck,Three-Quarter Sleeves,Hand Wash,,,Elasticated,,384,"Navy blue embroidered Kurta with Trousers with dupatta Kurta design: Ethnic motifs embroidered A-line shape Regular style Round neck, three-quarter no sleeves Thread work detail Above knee length with flared hem Viscose rayon machine weave fabric Trousers design: Printed Trousers Elasticated waistband Slip-on closure Viscose rayon Hand WashThe model (height 5'8) is wearing a size S",http://assets.myntassets.com/assets/images/16331376/2021/12/2/b8c4f90f-683c-48d2-b8ac-19891a87c0651638428628378KurtaSets1.jpg
14709966,Nayo Women Red Floral Printed Kurta With Trouser & Dupatta,Nayo,Kurta,Red,3699.0,Premium,4.089,4113,True,4.089,70.1,High,Daily,,,,Ethnic Motifs,Round Neck,Three-Quarter Sleeves,Hand Wash,,,Elasticated,,426,Red printed kurta with trouser and dupatta Kurta design: Printed kurta Anarkali design Round neck Three-quarter sleeves Flared hem Calf length Trouser design: Printed trousers Elasticated waistband Slip-on closure Dupatta design: White and red printed dupatta Top fabric: Pure Cotton Bottom fabric: Pure Cotton Dupatta fabric: Cotton Blend Hand washDupatta length: 2 metres (approx.) The model (height 5'8) is wearing a size S,http://assets.myntassets.com/assets/images/14709966/2021/7/10/d2407657-1f04-4d13-9f52-9e134050489b1625905793495-Nayo-Women-Red-Ethnic-Motifs-Printed-Empire-Pure-Cotton-Kurt-1.jpg
11056154,AHIKA Women Black & Green Printed Straight Kurta,AHIKA,Kurta,Black,1350.0,Mid,3.978,21274,True,3.978,72.7,High,Daily,Cotton,Calf Length,Printed,Ethnic Motifs,Round Neck,Three-Quarter Sleeves,Machine Wash,,,,,185,"Black and green printed straight kurta, has a nitched round neck, three-quarter sleeves, straight hem, side slitsMaterial: Cotton Machine WashThe model (height 5'8"") is wearing a size S",http://assets.myntassets.com/assets/images/11056154/2019/12/5/30b0017d-7e72-4d40-9633-ef78d01719741575541717470-AHIKA-Women-Black--Green-Printed-Straight-Kurta-990157554171-1.jpg
18704418,Soch Women Red Thread Work Georgette Anarkali Kurta,Soch,Kurta,Red,3498.0,Premium,,0,False,,,Unrated,Daily,Georgette,Ankle Length,Woven Design,Solid,Mandarin Collar,Long Sleeves,Hand Wash,,,,,235,"Colour: red Solid woven design Mandarin collar Long, regular sleeves Anarkali shape with pleated style Thread work detail Ankle length with flared hem Machine weave regular georgette The model (height 5'8) is wearing a size S Georgette",http://assets.myntassets.com/assets/images/18704418/2022/6/11/507490f7-c8f9-492c-b3f8-c7e977d1af701654922515416SochWomenRedThreadWorkGeorgetteAnarkaliKurta1.jpg
14046594,Libas Women Navy Blue Pure Cotton Floral Print Kurta with Palazzos & Dupatta,Libas,Kurta,Navy Blue,3599.0,Premium,4.436,8695,True,4.434,81.5,High,Fusion,,,,Floral,Keyhole Neck,Three-Quarter Sleeves,Machine Wash,Floral,2,Partially Elasticated,,614,"Stately and versatile, this kurta set will be your top choice. Its eye-catching printed kurta comes with snug printed palazzos and a gorgeous printed dupatta for added appeal. Kurta design: Floral printed Anarkali shape Pleated style Keyhole neck, three-quarter regular sleeves Gotta patti detail Calf length with flared hem Pure cotton machine weave fabric Palazzos design: Printed Palazzos Partially elasticated waistband Slip-on closure 2 pockets Dupatta Design Printed dupatta Top fabric: Pure Cotton Bottom fabric: Pure Cotton Dupatta fabric: Pure Cotton Machine washThe model (height 5'8) is wearing a size S",http://assets.myntassets.com/assets/images/14046594/2022/6/9/5fba9594-3301-4881-ba56-d56a44570e831654747998773LibasWomenNavyBluePureCottonFloralPrintKurtawithPalazzosDupa1.jpg
14951330,Ahalyaa Women Beige Floral Printed Regular Gotta Patti Kurta with Palazzos & With Dupatta,Ahalyaa,Kurta,Beige,6000.0,High-End,3.545,1741,True,3.561,50.8,Medium,Festive,,,,Floral,Round Neck,Long Sleeves,Machine Wash,Floral,,Partially Elasticated,,775,"When in doubt, rock this simple yet stylish kurta set at any traditional function. It comes with an elegant printed kurta and snug printed palazzos for comfort. Kurta: Classy beige tone Attractive round neck Long regular sleeves Calf length Poly crepe, machine wash Palazzos: Printed palazzos Partially elasticated waist Poly crepe, machine wash Tassels border Printed pattern Net, machine wash Trend Alert Symbols of freshness and beauty, romantic florals in vibrant hues and prints have been a mainstay in fashion for decades. Right from delicate all-over patterns to abstract and oversized motifs, romantic florals lend any garment a feminine touch.Top fabric: Poly Crepe Bottom fabric: Poly Crepe Dupatta fabric: Net Machine washThe model (height 5'8) is wearing a size S",http://assets.myntassets.com/assets/images/14951330/2022/2/16/e6b90907-a613-45e1-9b2e-988caaba36581645010770505-Ahalyaa-Women-Beige-Floral-Printed-Regular-Gotta-Patti-Kurta-1.jpg
13791594,Anouk Women Yellow & White Printed Kurta with Palazzos,Anouk,Kurta,Yellow,1999.0,Mid,4.246,7012,True,4.245,77.9,High,Daily,,,,Floral,Round Neck,Three-Quarter Sleeves,Machine Wash,,,Partially Elasticated,,318,"Yellow and white printed kurta with palazzos Yellow and white straight knee length kurta, has a round neck, three-quarter sleeves, side slits Yellow and white Printed palazzos, has partially elasticated waistbandThe model (height 5'8"") is wearing a size STop fabric: Pure Cotton Bottom fabric: Pure Cotton Machine-wash",http://assets.myntassets.com/assets/images/13791594/2022/2/14/5ea707f4-8491-4d1c-b520-86a1cff4c86e1644841891629-Anouk-Women-Yellow--White-Printed-Kurta-with-Palazzos-706164-1.jpg
17048604,Khushal K Women Green & Pink Printed Pure Cotton Kurta with Palazzos & Dupatta,Khushal K,Kurta,Green,5299.0,High-End,4.266,1590,True,4.261,75.0,High,Daily,,,,Ethnic Motifs,Round Neck,Three-Quarter Sleeves,Machine Wash,,,Elasticated,,477,"Green & pink printed kurta with palazzos & dupatta Kurta design: Ethnic motifs printed A-line shape Regular style Round neck, three-quarter regular sleeves Gotta patti detail Calf length with flared hem Pure cotton machine weave fabric Palazzos design: Printed Palazzos Elasticated waistband Slip-on closure Comes with pink solid dupatta Dupatta: 2.4 x 0.8 meters The model (height 5'8) is wearing a size STop: 100% Cotton Bottom: 100% Cotton Dupatta: Silk Chiffon Machine wash",http://assets.myntassets.com/assets/images/17048604/2022/2/4/11b842c5-d9d4-4fee-baa2-0972e3a673641643970773675KhushalKWomenGreenEthnicMotifsPrintedEmpireGottaPattiPureCot7.jpg
